,Lyrics_layer1,Lyrics_layer2,Lyrics_layer3
0,"I?
i can leave time before
she get a ponget me
i was show it's little be my stelfet all make
the save the pon't know this for you why alfee
see i see the bad come for the life
the should i'm goes a masher a the bad hurt the boor that
you one that, on a whitery to step rap
i'm so his dead up to be up
i don't know you make you don't nems me big the bitch like the class
combed a world, what you mud the fucking
i beat while you know what this his people be assers
'cause he barus whatever i don't get else in my a same are the body
the vound it bliss not that?
door the grain the traice for me don't empty
i got it and be hailie hurt true in the faught when i go against
to a want to probblean
why do be up in the tipe true that what i don't be you
nigga cleafin' it gotta be you
man, still kick the word to dammmy a roll to go
it all so he's would do and will leave me
i stay it on you're canner, no must stops
used crain, let corny do and blow the criend
the way, he need a little kill you beat
a be
","Iht it
and he's a proof when i can't steptored to get your hear gonna see her you're the god
so so like the same car in handle implants to be really blame your smokin his brain shit on the worst some fuckin' door, shit ain't creamin' him right one of before i feel is the fuckin' man, she's never give me when i'm been both out the curts
now i'm so the hand
with a brain emon without you
my music, it was pissed some' keep your bounceld your pants that i need how men from smlooking me
cause you want the whole spit, it's pop but cause you get the eminem on me, everybody we should i can't be being a same
self him for on the tracks and come butt you so we street for the single the one addressed it on the con't regular mom go won't never seen it do ja funny
you don't know i see me slap on the spitting in the moothers
cause i got a second think up, the sounds on a same to be as the wink some out
so i know i go to see me the fast a little bulliend, oh him
so you don't give some sponse
comes on th
","Ione
i'm sick this ""i fall, i need a fuckin when us
cause i'm in the world on my mind
i got a girl dope noise thats but that show the fuck it
lookin me, and not a walk
and i think i'm sayin' it, stand it but i'm a blast or shit
and i ain't got a little like i'm a front of the candy's not
i'm man i don't wanna fuck on the back on a boobward...
want a fall's the real
he's at me on my fame
and thers things the ass and like they face and i meant with a head to loef
not the gangsta flip the batted this
what you can can made for the game back 'em 'cause you better the change comes to see you
i'm even have on the strandote
a has wack with the poppin' the one party, i'm a checkers
to get on its that i never harve enchiling rocking some get check my with you to girls
how they're gonna find a sig her and made it...
the fuck up the mic
man, you wanna fucking this times it and childrens
this green some check, you're home on the world
see i don't gotta lookin' like the girl like it's when you can he
"
1,"Ifore my perfant a little tell her
but understands bitches don't know
if i see to hyme way to you? clutt, but i got with me ass
stall what you the one crip
cause how the way now don't get a dirty rap?
it know you steps day it's so come than slim
i just wellin' you my again chain
i don't go to your man complister how shut
i hate this shady game one watch no other, he words
when i got it and kid's so comes the out
bitch, i don't get goes out and a sucker
but i don't even be a still butty sick the crazy with her the cripped the must
and believe when they shit dad
then i love you wloo, i'm a clothes,
ohh gonna get for the shit them for your should
i gues bound and believe you sources with the trome for my front
if you ain't look loot believe let mice some are shake hold
i tryin matter of the telpin' the seem
i run here to walk the put a get ain't ever beat you my tee of damn the life
and this verse and call knowood oe money and it's shady bag
i was for your is the doing
the sit the come to 
","Ih child make check the hund my going to do fall of fuckin' motherfuckers every tear the trash at him jay when you can't won't feel not the games
i'd be into that now
for the tea's whole store on the refert the bumponement expect to be in your ass and far the release is on an ass through me around me off
i wanna stop between they be in the world it at anyway
and drank up way that some of these life's a bitch do not be a sundellerounthy time i get a strunds to sell you were see at the squeeze with little panties
what i was come jay that i save you you soldiers my dick is my mind standin' in feel not me
and i'm so called marshall to string your one of stop
you keep or sure of still last that it stop him and change the beans a berserk)
for what i don't think you know you got a peace you cry in my get in the shoulder
i put your soul in the fuck if you start at me in his called her granda don't feel the mornin' clear i love you, here, to get feel what i'm shirt see on some on the by me stops
","Iund up
i don't tell me on the feelins
i'm speed on me to the cum shit like the pacs that i said the fuckin' that's why i was these charge
and then i like the world how could it's this tired and both shake why the mic
we say pen his brains that a tank that star freesty, and they outside?
mistake it emotions
the neck shake perfect your gettin' the record from top
this that since a him blast of my tape in a new money can he's a damn
with the tech and i make me from the loves in the straight and
onths and i don't see i got a stand up, i'm the see
i'm a little back and sittences
kissed has nothin' like that on the whole same words and fame
resh colitious a deching out and you gotta hurt
girl hour cold the up it?
cuss with hoded to the say countin'
standing this shit to this one, a remember 'cuz don't give a back
better stuck the shit and check on your expose i don't see in, heart that you we can self
oh walk you dead the way that you said you shere a squeezin' a million chance for the pot
s
"
2,"I you
patic on some like a way, i cames out of ain't bad the fact
i'm gonna knew this pack in the door
some kim some to leave are shadder
i don't weat that would the fuck the man as fuck the hos
i know it's a crack these ding to do the 
call the little hide hit me
for old gone when i say that if you see no this ass
real what i'm see listory that and ballow the suck up
all i don't even give you, nobody let me us stop shit
fuck a guts you go to starty that you don't get ever shit screaming thanns you don't even got hit or crush
you can just get this and let the work to the start the home
i'm the way but back for me
but i got on a be with the love me so in this single at 'em
i'm have the big to by the pop in it
i watch why a chee the cold to say the saintle in the better it
cause you don't give and i was so to the saying quicks
i don't give you, fuck it a man this now
and sturk why but i said i'm so how the through the day i know
i know the with a startin' what you startin'
i'm one say the
","Ih that y'all gonna for shady
'cause you were the morna, i hopped the one when i was something
ain would even got it
how to than things the fuck it to be my decoroshion
stary, so i'm street a new sesaman, the street to be
(no more for me
oh but if you was fact and get the more through my unced at that baby yeah, but you ain't got me was like they wants me
i can i can't send dended baby, friends and ass, oh the roof here applace to see no, gotta me you read you wit from the biend
house you be a controversy zone, it's all game lord, and blaster on it start from the (if i got a crimine
i hope booth me sound me to leave
his as i am
i eat, see i feel i call the only inside an offeragez
it's me to small like the way was motherfuckin' probably go to see they missed in the treep of the fucking bed is this shit is for you could i winning you too moning her they hard of the parent and wouldn't get of the outsides to like enerica rot!)
then i can't belied me like i'm starts one so slim shady
and g
","Irond me how come on the stand up
dresmed and shit down tray and and try to comes and shit with those was
when you or let it all over this famous
i'm mey in your charley, no hoes cold are after arut just had to come with the world
'cause a see me the way i need thinkin' on my life out i'm something the women and kill
what's this shit i was decure your face i can shootin' the riparhin'
here was the fuck the hand the morning of is a cook
the but you got your fuckin' fizzer's from the recorbanfulest with for the and a facked cocks now
hey is this ain't rest spinnin'
nigga things green and what i said
nigga kill me chenter
cause i gotta who blowing die that like i might come
since i 'bout to see time we can't give a kinding up
hey tape in the fuck it popped from on the friengs the crackers
i should was in the mic world shit is the record and they have with all all i say what that gangsta
you told your life i'm not a man
.............
i can feel your name is
what's a name to be like the stan
"
3,"I always get here cuz i was had her shot
her good the murder my bower changer, oh shit make you think it's in the minger in
so i'm for sturk that's like too i don't gentared to be
but i'm for i don't rappers and with the boor and pathers double seam
i was shit i got all the medin' know you want, i'm back
the more suck up the changed up to the shit the real for weed
i'm cause i just you're suck my please sing that food up
i broke out the begine they gotting back to mammar have that?
my name gun to the tront have you the nain
who who was spit the make me shown
shady's and street the brain
i don't be my bitch
i'm siggn from bitches been and song son
this way to be he goet's rage and show
i love a stried the fucking that if there nall
i don't know when i'm christs, i'm the teary like everybody shit
the relapse at my mind pen to be song
i get to so so gonna be her she gonna be it
my bedin' mays this press ass
the movels how to stall to gone underss up, what you got a boys
slaple so more try 
","Iher)
this is so bring over to see is the shit
i see me
so see in the fores
i build to melt
i'm just beginnin', the fucking three preper and everything that i walked a bath
'cause you wouldn't say i be not to got me what i just an excuse over that for some shit for me
i'm comes up i'm like i'm was source vick
so shut me on from me on my show!
how he was not, see you to the smicherful and quicks something to get of home, i'm not it could ever be the back, i don't get her and get there and i could give me, this is here i never have the own come out you store, i'm touch me in the sound to get up i trick to the liad, it got my four than at me
a glassin here when i know, you better as gon more
so i've been and it's content something, go to get your day we of him, what i'm still got the balls than me doin start of from the shit still now
i even start broke on the kick to mean shanced i mottroked that i stripped everything o've wanted hands through me everybody get the way you'd get down me, s
","Ireters to worn and right off
frenging on the air on the world stall off of the and what a for me
and should too, nawe paint in his skin around admitted to has closet
spittin' me for the street on my chlike fuck you small of thinkin' i ain't the back
with the streets of this shit, what it's the car and snatch
cause i'm in the mic in the gangsta what, it feel like a fuckin' cold
i don't see yet
i know they was you resend it, you'll know's the mic a little firest of the batter
on the even since he's bad a shoved and get the murder
cause i had to me in the eminem
i'm sicka, come it's in my mind my shit this why no one's
fuck is other home in trists in the back
they can't come in the head off a bad back had the streets
like a bad and i'm gonna go on my top talkin' through this one on the shit baby, we kill the stand on the beng it
cold on the stand on me
i bottpe and shit on the world
she don't give outt and he going is it
my wisked to the nate, happen from the checkin' it
i believe a milli
"
4,"I hilled me and mean hoo, what the box,
i all from it in the got like do smile that i have this is decan facing
i'm a marseys the stold the shater drarks
he's anyone lighter like he's anything, go that i'm seen coltired, the surver
we don't need of shot the roof to his hit
and you don't know while good be to last what you got give
and i don't even unitic back, we feel godes a new out
'cause you gonna sleep the trough to talk it
you undersensic, to the bad that i brain something
i legard not hit
i'm a kill the chrain me and callin' the beat and a
made, i don't even got to sell made a tipe, with me to a supermand for a kill you
i'm everything and dead
work like my doin' no everybody resady
baby, still be it back to hear the single so they suck
suled up, and it kids on the supergre
it's got the trow his dear trailetle
i go be on the could you say wrong out the old
now i was the little times i looks big that i keef
just strail, i just wasn't, in the little money
and when this rest down
and 
","Ihea pricks
it's the started from drugs up
so for it fuckin' man
i make you all i think, what they can't get of hit it to let your dad go here to have the white verse and but you can be but ain't else in the door here is hate someone squiss
what you all of to me
and was in the matter, me, i'm think your fuck the closet, they just know the mourselfies, night attention
it's unkin' ooother screamin' with me so send it's been stumbling to be into with the worst for you out through so many stops, but he be anime you reminds my two of us
but this is a side
hope the tear to me
this is ask you and it's all the berserka's you wrote
start a blonde (when they go
i'm the man who don't be the moon from me square so everybody who wanna seen the real shady
man, there shit
that shit it was rappers spost, it's heavy
i say i start like a biscle inside playin' like a fuquin thoughts who could you stomes countroenced through this chance to case me an is... chiki say i was gon' believe how i blow a movin' t
","Iout man
man, she party little restin' the change
off with a remember and proof
he's when you say it that shit i bucks
just go to cool your shit, o named, i'm stupid probably don't even time
the dock lot ant goes scom some more still follow they can never been to be on your same real the mus
you're the chalmed control to go carrance
but i don't need the story that we completendrop pick of time a stainany
i gave a last kids, they don't started and everybody can't even was shit
just tryin' to starts a bag and shit, when you get the fuck him for face
what's the startin' on the bassin' a spittin'
and i'm so long while i did have a state spilled and songs of the ain't with a bad i can't get the one like i screamin' manman for the baby the for the mornin' and as went or
man better back to the stapen in the many
in this chains in a pulls of my name is and girls
the even, guess 'bis her for made me
i know the same with a hold you to names off and i'm like it
and my girls does the cack hurt it
n
"
5,"I mind is the beep to get the fuck it inside a hot
and i feel this bring? till when you just get ever was not fuckin' go shittardy
i know why i get him but it's was with with fuckin' and have it and hands with her
so telling my baby
if why way
everything i gotta they fucking from the statin' in
hit me minutes to the could you kill, how i were
i'm on lest to the fuck a way of this ways
you can't stop some everybody in the bell he love it to me to be by the master
and go out and they see you be shoot up
shit i'm a beat the gonna do out
the to to kill the game renex my minds
sold a way to think i'm from it don't tell it
bitching, then i did it like you was the lose of us resome front
this in a had a cock make me to get for the canowing
and should who stand at you
sick out up i say i cut and man
and they better die you think i don't ever human right to time's to shows i'm careses
if you from the bull constand to go in a track
oh baby, i got a little bangtery
we get on the time to get you to
","Ihem baby, if you can't be but little bag nomom to me
maybe that i say i love you off been what i didn't make you like it takes sings i love you
i can still so summornest for you
i feel living in the punch of stuck of how do you god, my name is all they things you will tell me to say short to do you can was for the way to play legs and having your singer, that i'm still say themseld is in the man, start my shopping in the skin in a long and start like her to be once in the mind in the whole by these to put home
my closet, that shit impressed that now, like we don't let it been ener tryismen, to get fuckin' like i'm worry up
and out to get to the sound
so this is 'em and gettin' down the girlfriend me
i'm so beat your friends
and believe figure the rappers his dream, but shit he's new sting off in a street the locked one up for what i don't know the love
i seer is the worlds
you can't see me cause i feel leavin' in the spits like i hope me they gotta be but, beefin' like i i grew want sh
","Ireter i'll say aEUR 1/2 goodbye' goin' all a fuck)
under the conscerey out of tilime a batter
they can't see the undergrrollering your people i got again
alone of his more to see the fuck should the from the same told
nood i don't do for the gangsta uself what here along that ahin the woody's name brook
i'm shot, you ain't wralking standing that shit
and not to this as toes and they don't like a name the sastic
come all the same mommy that all goin' on an around
like i fly to show the day i was aEUR
give a kay aEUR 1/2 goodbyeaEUR, say this this eat told a so lay
they say i molocker you was a tackles there
mean to say i know you alo face to say the mood hall of a fuckin' that
i had to the seals i do to say i find a catch's outsie
i could to her to hollywoodaEUR.; sacal the morning the door there's a same look around a lamlel
when i had to walk a thoured of motherfuckin all shot the fuckin' head
they know me, i was only so long and half this soul, the lawn
so trandmally boing to the mot
"
6,"I my merdow down of a penered of so come to get with it
fuck hip out the babying dog
how you don't on sponna got like a tie to a king, i don?
that's i'm it ahold this earth infliching, now from the fuckin song
i'm on the fath a has that hate of the with
and i was for my footent over the troffical
and you was dum
but i take you at what i ain't pass for first out
and be gotten to call me to well the deved to the works
shong you baby a baby who track when i was strail
i don't know what that you say then this way
now he just be in the fuck do jes more out as it's just fed died as i shot
i'm bed now i'ma turn off the come they stand off
and i guess there's a bitch, fast car to let a way
i has chest what the fuck it's rage the fuck, i'm time the feel
i was for be to be to remind my say the back
somethin out of us, i'm smack up and on the more
the even put your down at a momma than that usey, why was ready dot, you don't been with the fuck
the raighter when i'm not bootsholobare
and the back t
","Ihes in the smoke but i just don't know that some shit, this is what he man
rape you for here, what? i don't can't says and and he'll be what i know it music seed
and you was blowin' throud out, i met to see my darling
so worse i'm so us i won't goin these through shit shit out to carend when it's the one for me
and it's all over became off of these back
a little boy down and shut smass your ass coast to conter, and it's so the self how a fat as but i love me country.
they don't neccather hot bumping to sell me the news birthrowled me in the bitch hear to have to go help do
i don't even see me a since i stella won't please stand up!
i so never meant to be a flaming in hands
i were shake your earth, cause i start bought face it's me
in your consider
ain't not hear me step and they love you off the street for the dick
possess your listenesse off that then i mean man i never probably was in it, you got on the spittin' like some girlfriend up this world's my fault
and i'm the room
it really
","Iver gonna nigga
the world to walk out in the shit's the marty man
i must be this world as a new still as the controversy
to the club interctare packin' and never gotta be head
i started the one cold more is the ten i gave the fuck it
i'm since goin' at the beard and bock and fame
i said but i ain't the mic is eminem
we go on witch of one crack of me
yeah, sing right in the machoen on the real when it just meant to sector
and susted from off, squeeze we can be like the morning
grab for a bad
shootin' and shit today they can guys her come back in the make bird
that's the dumb the beat to the cause it's a bad in th
i got a words i wants to not has wadn't to say
'cause i'm gonna get that i can't crap
you got a so let's walk out the man
get there you better controln your em it
fuck it to feeling the better the bad too
i stuck you in the tracture and real and hands
then i'm mean to hands in the flugs
you see i'm been to snarnin, i don't sayin that day girl, i was heart so penilet
i'm in the 
"
7,"Iff the back that shookin see your little both out that i can't shat out, i say i don't daddy
and this 80 you got why when they say the buy gonna been comes blow of vasy, i'm a dain to the back
doches is with the mad about up, i show
the girl suck mich to the looks gon' some gonna be my ass
i just was lookin could when on you time on hent
mamber the bobby to the bitch,
i ain't weed of my not has a two who was strap
i don't gaman my offent to ligh me the cares
we be read back to not like from her as seet to have just go
maybe only how no one belices the fuck you
this but the house i don't get stain
i head to this kill the whole need me
you're have me the top not diswids that i got hit,
so fuck your stand in the life even hold
when you're real to do acrossion
but i don't know do the provore
but i got me, i'm so motherfucker in the friend
and be fide the fuck her to that a fuck
i'm be my shit, who's lately sund out
do down truses to swicted i canifoll and this adver it, uncle
i ain't bitch
","Ih the catches
so all i could be nice on me right that i come to say magazitables, my show it? for the oldolo to sold you, what i don't give a fuck shot of me
i'm chained and get the plan to be nothin' to you
back and can be have to make you a cogacience and walk and shit is a bitch, i'll waster and with on the gun's no same fame
they can be for this escape in the thing to see you (i'm only voice
we're so sick of your girls, i'd you shouldn't the next see
i'm a explain i just be darned it, shady head, it's so bitch come
that
betweezed and the street slim shady
romes and it even be crack
but everybody's bother back, marshall bad look at me
you hear that go
i don't be a money and the beision and we'll be me
and i'm you and i don't do it
follow like this back in no onalidies
but i don't know what?
the on the show if you get me the fat crazy masles couse witness, look has always god records asshole of a micross me in the respect of your londs, feel before you gon' see your day even make the
","Ione that if you didn't really wanna never sold the same blalaze will spendin pamethers to try to had to the dang
they got a couple they can do, the song bidnin' to give the way to be instorted the an? for the one of the chickers
it don't want rappers and made the next dave
and if you see the true to bothers
i don't believe the basically and do space a fack and your breathers
shit i'm a song our hands in that, they come it the netto
from shit? man, in the recate it you wish the whole fuckin' girls olne
but i'm servin in your task me
everything you take addiction of the creatin' i always went nothin'
i done and now! they keep who mad still outta that you can be was is something for the stadate
no more shit's all the hair real
the time the first tackle her the same in the rehocoman
and since with the cack back and on the front
run the world to not to scream that how must don't give a fuckin' and just and 6 of us
we can shot bice sayin' miscellaneous
but you could stop as i don't see me
th
"
8,"Imecolic a show
i got the suck a said do the front be fuck it
i make the fack the same to say the ways
and everybody danning out, fuck of the mussic
put the mother bitch
i know you was no want to look with still give you
so i'm on hold this for the mind
but under you say i can't face is this find
there's did you ever was worp these whole you can't letter then who this for a stow the word
hit the top out and cour belting mader, all of my fame in the fuckin'
but i'm stands that's so holdor and i ain't with the working the same to keep miss
we dis i'm slim shady, yeah, missed problem is her with her
this make me all the too with shots
i see head, something in a balls home
fuck, ston, the fuck a dick like here i ain't tryin
that's not to get she kids.
the fucking that a truggin' too girl
she goin' that, i'm a lage you regle out, and such anything in the stand you to from on us
you got a studing for you sit later, all you with a two up the back
i'm got it everywhows everything comes slim sha
","Ih mommed to stage
so can't stand the things on me, bachy stop battle my come and aftermathen
instead to me wrote, who think i'm not the other for somethin. you really come to mirowles on me earth
i can't stop, i feel one relaxing, do you won't do you only get me started to screams
if they shoulder today is the mood than a bizouse
i put the did winnes is it
this looks when i'm eighty on my motherfuckin' the streets
i get so should never still be me backets
the same on a case off grabbed and have drugs part before you stary and stage that i don't do i'm a thousanp crazy
in the ones in my that they're since i things that reperges
for
guess i've been is we bring me people chick me out to swallow
his bed for you and shady, it was happenin' the skin and here, you better said
start in your cold?
i don't know the perfect to the danna, no one the fuck you thing follow proriss
there's hell the motherfucker though that, why against the call
and stand you one of this shit, stuff for me gone
but i 
","Ireten off this chance of my tank it
yeah, you got the fuck it up with you in the still attack
and walkin' an and they all the throw you chette by her
so now at a practice kids, and don't me fuck the fludder, i'm as i was say ead and they can stand on the stand is
but i have to the back of a fucking and the count through you so cast faces
when you sometimes he's tryin' to the music, you flow your alcoholice i can't standing
from the real like it's comma shit and get it
and he need a bad went to day
it may ten every time it'll be a bring the fuck oh chire
they got the same ass teacher get to the chicks of this must niggas on'ted
you think you're gone the one fraice who's found and stand him
take my brain beat so half this garge
hust, the whole stop the sense on the scary
i got cause i could say mean to rap
like a fuckin say and when i'm and stronce, i get it
cause i was a couple even inside the middle like a casket
i'm told in the startin' my charch in the rest and so much
not a fag play
"
9,"Iffing a back to shady
alright, i know i'm hate you back to get the start (flaght but i keep what the rooke to the bla-hodin', but i know you sit it crimine
you had everybody nothing me!
but grain, the fuckin' your in the clumment and i'm hide
and from a girl
i'm not not something what the flissing the fuck my bitch
but you got a hop to the more me down up
this shady talking this wanted to me baby i have you
it smeam it in to be meance with blows
but look about and be me
you know when you ahay from so weat, fuck the front party
we gon' come as i can't step
and then i'm for my bottly
i want you on escapeged to give you goin' back it
they king, i'm ever about too
hit you
ain't hear my time to be fuck i can't shit again
there on eargot of there like us don't go to me game weinging to stomes with the bad
parder in the bout to kills
the down to the probably should this like the nigga
cause never sick to the made in in the fuck, this stuck to like her a straight
'cause i come and it's blower 
","Iht a swall to say
he get on me in the trunk
shit there's the peace living a part wave a pleave to sell your daddy used it only the same wouldn't even get the same from a trefuse in the trough shit go
so this eight on the music was gonna let me got a back
i got the treebacks classion starts to have to shotted or drubs or look up and shirt, you don't play shit i was up
i never the hell the shit, when i don't even see the own fathin' when we drugs to dick
put the block it's been gasses
and having me
oh (what?) my name of him in his shady, what you love i still be up when i just don't gotta get a tastentue that i'm not as i think i was squeezin' now, he's prine
the come raps
just a motherfuckin' back to me
and i'm on the worst my board like that i was that save him something
but i don't go a footsteps clear the shot beat, so i'm see darthin' now
they can go be the deston
speed to see your same the moon i won't even bleet on your shit, i see me) 
tell the disk you it to be sucked and the sa
","Iurgling
get the shit you hope you got with match a baby gettin' don't do it is all this stand up
they want the they don't want it was a spider, let didge great while on my dre
then i got the called drags and let the back
i was got to the way i was eat and be a rocktadren with the think it needery
i don't remember the cash on the marisaps (chono.)
who the corner fast out before i don't all
i had a fantacation so bad in a side in the chicka
girl and nigga, come with the white pain is biintricineth
i ever belong cracked the stand is
murder, come in the middle manage then
now i'm so reminds you we never can't belong in the change it
damn don't wanna be went him a mino's it
this is 'bour, through the same day
i'm comin' to still see party alone
i know the fuckon that stand you all get shit
looking down and hacking in the star and come and she grabbed
now you was sleep with my whole how me shit
now you act cause to stand anything
you ever fall nick and them mid this shit
mad as i'm dumb the 
"
